Ventilador De Mesa Arno Vf Preto E Pás De Cor Prata, 50cm De Diâmetro 127v
é recarregável?,"Olá LIGHTSANGELL, tudo bem? Desculpe-nos pela demora. A Caixa Amplificada Multiuso Frahm - Cm 600 possui bateria interna recarregável (Lítio). Além disso, é Bivolt Automático (100-240V) e possui bateria externa 12V (Ext DC 12V IN). Aguardamos o seu pedido."
Bom dia essa caixa ela vem com microfone,"Olá ROBERTOAMORIMFERREIRA, tudo bem? Não vem com microfone, apenas com entrada para microfone."
Olá boa tarde  vcs já trabalham com o mercado envios flex ?,"Olá DOSPRAZERESROGERIO, tudo bem? Enviamos via Correios."
MAS TEM COMO DA UMA IDEIA PQ SE NAO  DURA 10 MIN AE NAO TENHO NEM O QUE FALAR,"Olá RIDLEY47, tudo bem? Você pode conectar o aparelho que é Bivolt na tomada e escutar por quanto tempo quiser. Aguardamos seu pedido."
BATERIA DURA QUANTO TEMPO USANDO NO MAXIMO,"Olá RIDLEY47, tudo bem? Alimentação : Bivolt Automático 100-240V, Bateria interna recarregável (Lítio) ou bateria externa 12V (Ext DC 12V IN). Não temos como precisar esse tempo de uso. Seguimos a disposição."
Há entrada para microfone?,"Olá LUCIAMERCIAVASCONCELOS, tudo bem? Sim tem entrada para Microfone."
Ela é ativa ou passiva ?,"Olá CAÍQUE TAVARES, tudo bem? Possui as conexões bluetooth, entrada USB, cartão de memória, rádio FM, entrada auxiliar e conexão pra microfone, violão, teclado, cavaquinho. Alimentação : Bivolt Automático 100-240V, Bateria interna recarregável (Lítio) ou bateria externa 12V (Ext DC 12V IN) Potência musical : 600 W Seguimos a disposição."
Olá quantos centímetros de altura ela tem ??,"Olá KAGE30, tudo bem? O produto tem 60 cm de altura."
é possível conectar na USB de um toca disco áudio techinica ?,"Olá RITTER.CARLOS, tudo bem? Sim é possível, seguimos a disposição."
Boa tarde ela pega rádio ou só blut,"Olá BAAL3939083, tudo bem? Pega rádio e Bluetooth. Aguardamos seu pedido."
Qual é  o tipo de carregador/fonte dele?,"Olá MARQUINHOSDIGITAL13COM, tudo bem? Alimentação : Bivolt Automático 100-240V, Bateria interna recarregável (Lítio) ou bateria externa 12V (Ext DC 12V IN) Aguardamos seu pedido."
a luz do alto falante acende obrigatoriamente ou tem uma chave pra desligar? envio imediato?,"Olá LIGHTSANGELL, tudo bem? Sim, possui Chave on/off para os leds; Aguardamos seu pedido."
Tem como fazer link com dois microfone sem fio ?,"Olá AMBR553186, tudo bem? Somente um Microfone por vez. Seguimos a disposição."
???,"Olá BAAL3939083, tudo bem? Segue a descrição do produto: "A caixa amplificada cm 600 da frahm possui 600 watts de potência e é a opção perfeita pra ouvir suas músicas com total liberdade. Possui as conexões bluetooth, entrada usb, cartão de memória, rádio fm, entrada auxiliar e conexão pra microfone, violão, teclado, cavaquinho. Alto-falante : 12 + driver Canal 1 : bluetooth, usb, sd card, e fm / auxiliar - iphone, ipod, ipad, tablets, celulares, mp3, cd, dvd, tv, teclado. Entrada p10 e p2 para microfone, Violão, cavaquinho. Alimentação : bivolt automático 100-240v, bateria interna recarregável (lítio) ou bateria externa 12v Potência rms : 200 w Potência musical : 600 w" Seguimos a disposição."
Boa tarde ela pega rádio ou só blut,"Olá BAAL3939083, tudo bem? Sim, a Caixa Amplificada Multiuso Frahm - Cm 600 pega rádio AM/FM. Aguardamos seu pedido."
Elétrica ou a bateria ?,"Olá DALTONMOREIRASILVAMOREIRASI, tudo bem? Alimentação : bivolt automático 100-240v, bateria interna recarregável (lítio) ou bateria externa 12v. Aguardamos seu pedido."
Elétrica ou a bateria ?,"Olá DALTONMOREIRASILVAMOREIRASI, tudo bem? Alimentação : bivolt automático 100-240v, bateria interna recarregável (lítio) ou bateria externa 12v. Aguardamos seu pedido."
Tem pra envio imediato ? vem com microfone sem fio né?,"Olá GUSTAVO GRANDI, tudo bem? Sim nós temos o produto disponível em estoque porém ele não vem acompanhado de microfone. Aguardamos seu pedido."
Ela pega rádio?,"Olá MARIELEDASILVADIASDIAS, tudo bem? Sim ela pega radio FM. Aguardamos seu pedido."
Meu amigo como faço para conseguir a bateria dessa caixa,"Olá ROAL9060900, tudo bem? Entre em contato com a Frahm, só vendemos o produto completo lacrado. Seguimos a disposição."
Olá  já paguei o boleto.,"Ok GISELISALERNO, seguimos a disposição."
Olá   já paguei o boleto .,"Ok GISELISALERNO, seguimos a disposição."
Beleza então  te mando o cnpj e os dados da empresa depois da compra. obrigado,"Seguimos a disposição."
olá  emite nota fiscal?,"Olá BRASAEXTRAGO, tudo bem? Sim, nós vendemos o produto original lacrado acompanhado de nota fiscal. Aguardamos seu pedido."
Por favor estou precisando da resposta A solução que eu queria era uma caixa de som com certa potência pra sala de aula. Ela terá que ter bluetooth para ligar a um microfone intrauricular com Bluetooth ligado a caixa de som emitindo o som da minha voz Obrigado fico no aguardo?,"Olá ALEXANDREFERREIRAFURTADO, tudo bem? Segue a descrição do produto: "A caixa amplificada cm 600 da frahm possui 600 watts de potência e é a opção perfeita pra ouvir suas músicas com total liberdade. Possui as conexões bluetooth, entrada usb, cartão de memória, rádio fm, entrada auxiliar e conexão pra microfone, violão, teclado, cavaquinho." Acredito atender suas necessidades, seguimos a disposição."
Essa caixa  tem  oque,"Olá MIAL8069341, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600 possui as conexões bluetooth, entrada usb, cartão de memória, rádio fm, entrada auxiliar, conexão para microfone, violão, teclado, cavaquinho e alto-falante de 12' + driver. Estamos aguardando o seu pedido."
quantas hora a bateria aguenta?,"Olá NEILIZEBARRETO, tudo bem? A autonomia da bateria da caixa pode chegar à: 10 horas no volume mínimo; 06 horas no volume médio; 2,5 horas no volume máximo."
Obrigada irei fazer o pedido da minha,"Nós que agradecemos JOSUFELICIANOPEREIRAFELICIA!"
Ha sim entendi pensei q so era a bateria porq quero uma q fique ligada na tomada porq so a bateria n quero pois ja tive prejuizo outrora  pois tinha uma q era a bateria,"Olá JOSUFELICIANOPEREIRAFELICIA, Entendo sim, mas essa caixa possui as duas formas, pode ficar tranquila!"
Vcs nao tem  sem ser a bateria nao?,"Olá JOSUFELICIANOPEREIRAFELICIA, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600, possui tanto a bateria quanto o cabo para conectar na tomada."
Tem entrada USB?,"Olá JENNYFERMEIRELES, tudo bem? Possui sim."
qnt tempo era dura funcionando com a bateria,"Olá ALEXANDREBOASORTE, tudo bem? A autonomia da bateria da caixa pode chegar à: 10 horas no volume mínimo; 06 horas no volume médio; 2,5 horas no volume máximo."
tempo médio de duração da bateria?,"Olá SOYA2673151, tudo bem? A autonomia da bateria da caixa pode chegar à: 10 horas no volume mínimo; 06 horas no volume médio; 2,5 horas no volume máximo."
gostaria de saber se é a bateria?,"Olá JOSUFELICIANOPEREIRAFELICIA, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600 é Bivolt Automático 100-240V, Bateria interna recarregável (Lítio) ou bateria externa 12V (Ext DC 12V IN)."
|vem mic,"Olá MAIEDVER, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600 acompanha o microfone sem fio sim."
vem mic ?,"Olá MAIEDVER, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600 acompanha o microfone sem fio sim."
tem bateria,"Olá MARCOSCALISTODASILVACALISTO, tudo bem? Possui bateria interna."
----
Mixer Hamilton Beach 59766 Cobre 110v
Question,Answer
Gostaria de saber se o produto NÃO será entregue pelos Correios. Se não for  compro.,"Olá, O envio está sendo realizado normalmente via correios."
Esse aqui: https://produto.mercadolivre.com.br/MLB-873431147-varal-dobravel-030x075-5-varetas-_JM,"Olá, Nossa marca (Hamilton Beach) não possui no presente momento varal de parede. Indicamos verificar com a loja a questão dos demais anúncios. Segue link dos modelos de varal: https://www.google.com/search?sxsrf=ALeKk03Nnqh_ZdcupD0JEmvej1Qzw5clqw%3A1587733361160&source=hp&ei=ceOiXvzIB9m75OUPg5mvoAU&q=VARAL+METALICO+ACORDEAO+hamilton+beach&oq=VARAL+METALICO+ACORDEAO+hamilton+beach&gs_lcp=CgZwc3ktYWIQAzoHCCEQChCgAVClOljxX2DvYmgCcAB4AIABogGIAbcTkgEEMS4xOJgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwi8xfPXj4HpAhXZHbkGHYPMC1QQ4dUDCAc&uact=5"
Ainda tem o varal dobrável de parede de 50 ou 75cm? Vi um anúncio aqui no site de vocês  mas está pausado.Queria comprar,"Olá, Nossa marca (Hamilton Beach) não possui no presente momento varal de parede. Indicamos verificar com a loja a questão dos demais anúncios. Segue link dos modelos de varal: https://www.google.com/search?sxsrf=ALeKk03Nnqh_ZdcupD0JEmvej1Qzw5clqw%3A1587733361160&source=hp&ei=ceOiXvzIB9m75OUPg5mvoAU&q=VARAL+METALICO+ACORDEAO+hamilton+beach&oq=VARAL+METALICO+ACORDEAO+hamilton+beach&gs_lcp=CgZwc3ktYWIQAzoHCCEQChCgAVClOljxX2DvYmgCcAB4AIABogGIAbcTkgEEMS4xOJgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwi8xfPXj4HpAhXZHbkGHYPMC1QQ4dUDCAc&uact=5"
Ainda tem o varal dobrável de parede de 50cm? Vi um anúncio aqui na loja de vocês mas está pausado  queria comprar...,"Olá, Nossa marca (Hamilton Beach) não possui no presente momento varal de parede. Indicamos verificar com a loja a questão dos demais anúncios. Segue link dos modelos de varal: https://www.google.com/search?sxsrf=ALeKk03Nnqh_ZdcupD0JEmvej1Qzw5clqw%3A1587733361160&source=hp&ei=ceOiXvzIB9m75OUPg5mvoAU&q=VARAL+METALICO+ACORDEAO+hamilton+beach&oq=VARAL+METALICO+ACORDEAO+hamilton+beach&gs_lcp=CgZwc3ktYWIQAzoHCCEQChCgAVClOljxX2DvYmgCcAB4AIABogGIAbcTkgEEMS4xOJgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwi8xfPXj4HpAhXZHbkGHYPMC1QQ4dUDCAc&uact=5"
possui a potencia de 220W ou apenas 110W?,"Olá, Possuímos nas duas voltagens. A voltagem 220v possui 450w de potência e a 127v possui 225w de potência."
Quantas laminas vem na haste  uma ou duas?,"Olá, A haste possui uma lâmina."
B NOITE. Na tensão 220 volts qual a potencia em WATS do produto? em 110 ou 220 a potencia é sempre a mesma?,"Olá, 127v possui 225w de potência e 220v possui 450w de potência."
----
Nebulizador Compressor G-tech Nebdog Rosa 110v/220v
Question,Answer
Serve para bebê?,"Sim"
Vende só a máscara porque já tenho o aparelho?,"Boa tarde! Não trabalhamos com o kit de reposição."
Olá boa noite vc tem somente o suporte para máscara?,"Só trabalhamos com os nebulizadores"
Qual o comprimento da mangueira?,"Não temos esta informação."
A máscara serve só em crianças?,"Sim. É uma máscara pequena"
Vem com o elástico?,"Na máscara sim."
Serve pra adultos?,"Bom dia, este é infantil. Agradecemos o seu contato."
Olá esse nebulizador e infantil  ou é adulto ? O respirador onde põe no nariz e grande ou pequeno ? Quero que seja grande pois seria pra mim,"Bom dia, este é infantil. Agradecemos o seu contato."
Ola queria saber se vem pelo correio,"Olá, boa tarde! Basta inserir seu CEP e adicionar os produtos desejados. O sistema irá lhe informar o valor do frete e tempo de entrega. Qualquer dúvida ficamos à disposição."
E vem com mascara adulto e infantil,"Olá, somente infantil."
esse vem com o copinho descartável ? E duas mascara,"Olá, somente mascara infantil"
Tem o nebulizador rosa 110 V?,"Olá, boa tarde! Temos sim!"
Ele é bivolt? Ou a gente escolhe a voltagem quando realiza a compra?,"Olá, boa tarde! É bivolt, recomendamos ler o manual para saber se é automático ou não."
boa noite. tem na 110V?,"Olá, boa tarde! Temos sim!"
na cor rosa,"Olá, boa tarde! Temos sim!"
qual o tamanho?,"Olá, bom dia! Tamanho padrão de inalador. Qualquer dúvida ficamos à disposição."
Boa tarde este aparelho é só para crianças o vem máscara p adulto,"Olá, bom dia! O mesmo acompanha mascara apenas para crianças."
Disponível na cor rosa ?,"Sim, temos disponibilidade."
Disponível na cor rosa ?,"Sim, temos disponibilidde."
Disponível na cor rosa ?,"Olá, sim temos disponibilidade."
ola bom dia estou precisando urgente consigo retirar na loja de vcs?,"Olá, somente através dos correios. Obrigado."
olá boa tarde vem duas máscara ? tem garantia?,"somente a mascar infantil"
tem pronta entrega ?,"Olá sim temos. Obirgado."
vem máscara para adulto tbm? ou so de criança,"Olá caro cliente, vem com o infantil."
Garantia de fabrica,"Olá, 1 ano."
Tem algum vídeo?  Pois tem gente falando que faz barulho,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
boa noite. ele tem som?,"sim, ele nao é ultrasonico"
Boa noite! Sabe informar se ele é com rede vibratório ou ultrassônico? Obg!,"Ele é com ar-comprimido. Obrigado."
o preço é o mesmo? serve para nebulizar medicamentos de asma? o meu quebrou e meu menino usa constantemente.,"ja esta em estoque"
Tem na cor azul disponivel?,"temo sim"
Obrigado meu amigo,"abraços"
e novo né,"sim, o produto é novo"
----
Fogão Cooktop A Gás Itatiaia 5 Bocas Itatiaia Ng Preto 110v/220v
Question,Answer
Ele acende elétrico ? Ou preciso de um isqueiro para acender a chama,"Bom dia, Fogão Cooktop 5 Bocas Vidro Acendimento Automático,Queimadores em Alumínio,Preto,Bivolt - Itatiaia - Bivolt. Att, Equipe."
Sim tem largura altura fundura quanto tem de comprimento?,"Bom dia, O cooktop da Itatiaia possui 73 centímetros de largura e 45 centímetros de profundidade. Att, Equipe."
Boa noite  pode ser instalado botijão de gás comum?,"Bom dia, O Cooktop com funcionamento a gás, conta com cinco queimadores de alumínio com a potência ideal para preparar suas receitas favoritas e mesa com grafismo exclusivo Itatiaia em vidro temperado. Att, Equipe"
Olá  a entrega é por correio ou transportadora?,"Bom dia, Trabalhamos com o envio dos nossos produtos de duas formas: correios ou transportadora. Aguardamos o seu pedido. Att, Equipe."
Qual a medida do nincho,"Não temos essa informação do fabricante."
Você Tem para gás glp?,"Não, não temos. Agradecemos o interesse."
Bom dia  quase um mês de frete?,"Não temos o produto em estoque e o prazo é definido pelos Correios."
A mesa dele e de vidro,"Sim, o tempo e de vidro. Aguardamos seu pedido."
Tem disponível?,"No momento não temos o produto em estoque. Agradecemos o interesse."
o gás é bitijão  correto?,"Pode ser de botijão ou encanado, só precisa ser a gás."
pela foto dele inteiro não aparenta ter a boca com a chama dupla  tem?,"Sim tem. Aguardamos seu pedido."
Boa tarde quais os meios de transporte pra Bahia?,"Boa tarde. Enviamos por transportadora ou pelo Correios. Aguardamos seu pedido."
Gostaria de saber se essa medida de 73x16 1x45 é do fogão ou do nicho de encaixe? Teria a medida do nicho de encaixe?,"Dimensões do Nicho de Instalação (L x P): 63 x 35 cm"
As chamas São boas pq tenho um novinho da atlas não gostei por isso estou querendo outro,"Sim, o Produto tem uma ótima qualidade, tem uma ótima avaliação entre os nossos Clientes, e vai com garantia e nota fiscal. Aguardamos o seu pedido."
As chamas São boas pq tenho um novinho da atlas não gostei por isso estou querendo outro,"Sim, o Produto tem uma ótima qualidade, tem uma ótima avaliação entre os nossos Clientes, e vai com garantia e nota fiscal. Aguardamos o seu pedido."
Boa noite queria esse de 349 mas o amarelo,"Não temos o produto na cor amarela."
Oi boa noite gostaria de saber se a voutagem dele e 110,"Olá, boa tarde. O produto é bivolt. Aguardamos seu pedido."
gostaria de compra mais mercadoria desse valor ainda tem q pagar frete !!!?? faço compra no valor bem inferior e o frete é grátis vai entender essas loja..,"Referente ao benefício de frete grátis é tratado diretamente com o mercado livre, para maiores informações por favor verifique o com o mercado livre."
o tampo é de vidro?,"Sim é de vidro. Aguardamos seu pedido."
qual o tamanho dele,"Olá amigo, Essa informação esta na descrição do produto."
O queimador é chama dupla como na foto,"Não é dupla !"
Na segunda foto do anúncio mostra um dos queimadores acesos quero saber se o queimador e o mesmo do fogão ou e uma foto ilustrativa?,"Olá amigo, Sim, é igual ao do queimador do fogão de piso. Aguardamos o seu pedido."
Sta constando q foi cancelada a compra mas consta q eu paguei quero saber se vão mandar ainda ou terei q comprar denovo,"Se esta cancelada não iremos mandar mais !!"
Como faço p entrar em contato direto com o mercado livre,"Para você entrar em contato com o Mercado Livre, basta seguir o passo a passo abaixo: Segue o passo a passo: - Você terá que ir até Configurações; - Depois em Meus Dados; - Depois na parte superior da tela irá clicar em Preciso de Ajuda; - Escolher a opção (Alterar titularidade da minha Conta) - Você entrará no Fale Conosco: Lá você terá 3 opções para falar com eles, escolha uma das e entre em contato com eles."
Olha eu stou tentando entender oq aconteceu e at agora não me explicaram.comprei o fogão  consta q a compra foi feita no meu cartão mas a compra foi cancelada .oq eu faço,"Olá amigo, Verifique qual foi a mensagem que foi informada, pois se não tivemos o produto disponível com certeza iriamos cancelar, verifique qual foi a mensagem informada. Obrigado"
Não consigo falar no chat,"Então entre em contato direto com o Mercado Livre para maiores informações."
não estou conseguindo falar no chate por favor só me dêem um retorno.sobrebo fogão se vão mandar ou devolver o dinheiro,"Olá amigo, Entre em contato no chat, que iremos responder, mas informo que se até o momento não foi cancelado estaremos enviando sim ! Obrigado."
o queimador do meio e chama como tem na foto do anuncio,"Olá Desculpa, não entendemos, pode refazer a pergunta novamente."
o tamanho do corte em baixo do cooktop,"Essa informação está na descrição do produto. Aguardamos seu pedido."
bom dia quero a medida dele para fazer o corter de encaixe no granito por gentileza de 5 bocas,"As medidas estão na descrição do produto. Aguardamos seu pedido."
eu comprei o produto e não chegou consta q vocês receberam a compra oq ouve?vão me reembolsar?,"Favor entrar em contato via chat. Porém, devido a algumas complicações que estamos enfrentando com o sistema do Mercado Livre, o chat está demorando até 48 horas uteis para responder devida a alta demanda. Agradecemos a compreensão!"
oi bom dia  gostaria de saber como fica o frete? o meu cep 67113790,"Favor verificar o prazo e o frete no próprio anúncio, você terá que inserir o seu CEP no campo solicitado e terá automaticamente o seu frete e prazo calculado. Lembrando que o produto pode chegar antes do prazo total estipulado. Aguardamos o seu pedido."
Boa noite sta constando q eu comprei o fogão vocês disseram q a compra foi recusada e ele não chegou ? vão me devolver o dinheiro ou vão  mandar o produto.cinfere aí a compra foi feita dia 11 do 12,"Favor entrar em contato via chat. Porém, devido a algumas complicações que estamos enfrentando com o sistema do Mercado Livre, o chat está demorando até 48 horas uteis para responder devida a alta demanda. Agradecemos a compreensão!"
produto original? quanto tempo de garantia?,"Sim, o produto é novo, é original, vai lacrado na caixa com todos os acessórios, com garantia de 12 meses e Nota Fiscal em seu nome. Aguardamos o seu pedido."
bom dia tem frete grátis pra o cep.55590-000.,"Bom dia. Favor verificar no próprio anúncio. Aguardamos seu pedido."
Bom dia  estou com problemas em uma compra já mandei ok inumeeras msg e vcs não respondem verifica lá por favor,"Respondemos em até 48 horas uteis."
----
Mouse Logitech M90 Preto
Question,Answer

----
Monitor Acer V6 V226hql Led 21.5  Preto 120v/230v
Question,Answer
grato,"Estamos à disposição."
Olá  está entregando?,"Olá SIAL8969307, tudo bem? Devido ao atual momento em que estamos, infelizmente nosso prazo de entrega está maior do que o normal podendo variar de acordo com a sua região. Estamos à disposição."
Apenas entrada VGA?,"Olá RICARDOALMEIDAANDRADE284, tudo bem? O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa tem entradas DVI, HDMI e VGA. Aguardamos o seu pedido"
É possível concertar o PS4 a entrada HDMI?,"Olá LUCASEDUARDOACORSI, tudo bem? Desculpe-nos pela demora na resposta. É possível conectar o PS4 na entrada HDMI porém o monitor não tem saída de som. Estamos à disposição."
são 20 dias para entregar?,"Olá ULISSESMALTA, tudo bem? Desculpe-nos pela demora na resposta. Devido ao atual momento em que estamos, nosso prazo de entrega está maior do que o normal, podendo variar de acordo com a sua região. Estamos à disposição."
esse munitor pode ser usado como TV?,"Olá PEDROROBERTO298, tudo bem? Desculpe-nos pela demora na resposta. O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa pode receber sinal de um decodificador de TV por assinatura, receptor de antena parabólica, conversor de sinal digital externo e outros aparelhos via cabo HDMI. Outros pontos importantes estão na qualidade de imagem do Monitor e a saída de som. O monitor não possui alto falantes. Logo, terá que conectar alguma saída de som. Estamos à disposição."
É ips ou tn?,"Olá DHENNYJOHNSON, tudo bem? Desculpe-nos pela demora na resposta. O tipo de painel do Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa é TN. Estamos à disposição."
Só tem conector VGA? Não tem HDMI eDVI?,"Olá FALKENBURGALEX, tudo bem? Desculpe-nos pela demora na resposta. O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa possui entradas DVI, HDMI e VGA. Estamos à disposição."
este produto tem entrada hdmi?,"Olá VERTONLHUL, tudo bem? Desculpe-nos pela demora na resposta. O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa possui entrada HDMI porém não acompanha o cabo HDMI. Estamos à disposição."
tem hdmi,"Olá SADA7718080, tudo bem? Desculpe-nos pela demora na resposta. O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa possui entrada HDMI porém não acompanha o cabo HDMI. Estamos à disposição."
Boa tarde gostaria  de saber o tamanho da base do monitor,"Olá KASHMIR2004, tudo bem? Desculpe-nos pela demora na resposta. A base do monitor tem, aproximadamente, 25 cm de largura e 21 cm de profundidade. Aguardamos o seu pedido."
Boa tarde  vem com o cabo hdmi?,"Olá JEANNEAMORAES, tudo bem? Desculpe-nos pela demora na resposta. Infelizmente não vai com o cabo HDMI. Estamos à disposição."
ele tem altofalantes ou só via p2 ?,"Olá SOJO6620770, tudo bem? Desculpe-nos pela demora na resposta. O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa não possui alto falantes. Estamos à disposição."
se eu comprar hoje não tem como chegar antes do prazo de 19 de maio ?,"Olá LUCASCOSTAMELO7, tudo bem? Infelizmente não podemos mexer na projeção da entrega por conta da Pandemia. Desculpe-nos o transtorno"
Tem conexão por HDMI ?,"Olá ADI_FDS, tudo bem? Sim produto tem conexão HDMI. Seguimos a disposição."
Tem conexão HDMI ?,"Olá ADI_FDS, tudo bem? Sim produto tem conexão HDMI. Seguimos a disposição."
Tem conexão HDMI?,"Olá ADI_FDS, tudo bem? Sim produto tem conexão HDMI. Seguimos a disposição."
Boa tarde  possui entrada HDMI? Pois quero conectar meu xbox a tela.,"sim possui"
Tem 110 volts? Comprei im 220volts errado.. gostaria de troca-lo,"Olá MICHEL_OZORIO, tudo bem? Produto é bivolt."
esse monitor e Full HD,"Olá RALU417905, tudo bem? Sim produto é full HD."
HDMI?,"Olá FERNANDOBLANCOMARCELINO, tudo bem? Sim o produto dispõe de conexão HDMI."
esse monitor e Full HD,"Sim"
tem hdmi?,"Sim"
Olá  qual a é garantia?,"1 ano pelo fabricante"
hdmi?,"Olá OLBR6496299, tudo bem? Sim produto tem conexão HDMI, seguimos a disposição."
Pronta entrega?,"Olá SAMA3531285, tudo bem? Sim seguimos entregando, aguardamos seu pedido."
A altura e ajustável ?,"Olá NESA2183266, tudo bem? Não somente de inclinação. Seguimos a disposição."
CONSIGO GIRA ELE OU TEM COMO INSTALAR EM SUPORTE DE PAREDE,"Olá NACIONAL AUTOMAÇAO, tudo bem? O produto não gira para o Horizontal, mas o senhor pode instalar ele na parede da maneira como julgar melhor. Seguimos a disposição."
Boa dia esse monitor tem quanto hz ?,"Olá SODA9490057, tudo bem? Monitor possui 60hz. Aguardamos seu pedido."
A tela tem inclinação para cima? tenho interesse nesse monitor,"Olá DIAN6068709, tudo bem? O aparelho tem inclinação porém não fica na horizontal. Seguimos a disposição."
Tem entrada HDMI? É bivolt ou é opcional 127V/210V?,"Olá DUTRABRUNO38, tudo bem? O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa tem entrada HDMI e é bivolt. Aguardamos o seu pedido."
Ele tem entrada hdmi,"Boa tarde, tem entrada HDMI sim, aguardamos seu pedido."
Olá a única conexão é VGA ou tem HDMI também?,"Olá FEZA9228896, tudo bem? Produto dispõe de conexão VGA, HDMI e DVI. Aguardamos seu pedido."
tem 110v ?,"Bom dia, esse produto é bivolt, aguardamos seu pedido."
tem 110v ?,"Olá GITIRANA, tudo bem? Produto é bivolt. Aguardamos seu pedido."
Tem entrada hdmi ?,"Olá RIGU3511492, tudo bem? Sim, monitor dispõe de entrada HDMI."
Boa tarde teria esse monitor 110v?,"Ele é bivolt"
frete pago com esse valor? tem como deixar free?,"Olá ISRAELTARDELLI, tudo bem? Depende da sua região, faça o teste no campo sinalizado para calcular o frete. Seguimos a disposição."
Tem entrada hdmi?,"Olá OLLU6078510, tudo bem? O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa tem entrada HDMI. Aguardamos o seu pedido"
tem entrada HDMI,"Boa tarde, possui sim, aguardamos seu pedido."
Olá! No anúncio  consta que o produto é 220V. Procede? Ou ele é bivolt? A rede aqui é inteira 110V.,"Boa tarde, produto bivolt, aguardamos seu pedido."
Contém conexão hdmi?,"Contém sim, produto novo com nota fiscal, aguardamos seu pedido."
Quais as entradas desses monitor Acer V6 V226HQL led 21.5" preto 220V ?,"Olá FEFE9642800, tudo bem? Aparelho dispõe de entrada VGA, HDMI e DVI. Aguardamos seu pedido."
tem caixa de som?,"Olá HDOUGLAS523, tudo bem? Produto não possui caixa de som."
somente entrada vga?,"Olá S2BULL, tudo bem? O monitor possui uma entrada HDMI e uma entrada VGA."
Tem Entrada Para Hdmi?,"Olá FABRICIO6635, tudo bem? O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa possui uma entrada HDMI e uma entrada VGA."
Tem conexão HDMI?,"Olá JOAOMIIRANDA, tudo bem? O Monitor Acer 21,5 Led Full Hd V226Hql Dvi Hdmi Vesa possui uma entrada HDMI e uma entrada VGA."
Bom dia.. esse monitor é bivolt né??,"Olá MAFA6243951, tudo bem? O monitor é bivolt sim."
É recomendado para Jogos?,"Olá RARA9863211, tudo bem? o Monitor Acer de 21.5" possui resolução Full HD (1920 X 1080) a 60hz com 5ms de tempo de resposta e possui conexões DVI, VGA e HDMI, para jogos recomendamos monitores da nossa linha gamer."
----
Impressora A Cor Multifuncional Epson Ecotank L3150 Com Wi-fi 110v/220v Preta
Question,Answer
Imprimi em papel de 180gr?,"Olá HAIZELIAS, tudo bem? Desculpe não entendi sua pergunta. Em que podemos te ajudar?"
Bom dia! Ela já vem com tinta? Se eu adicionar mais coisas da sua loja pode mandar no mesmo frete?,"Olá ELAINENICOLAUDEOLIVEIRA, tudo bem? O frete pode variar de acordo com a sua região."
Tintas são original q vem junto,"Olá EVERALDOGHELLERE, tudo bem? Só trabalhamos com produtos originais. Aguardamos seu pedido."
Ja vem com os frascos de tinta??,"Olá LUCASILVA2013, tudo bem? Sim já vem com vem com Frasco. Aguardamos seu pedido."
ela acompanha tinta?,"Bom dia, acompanha sim, ela vem pronta pra usar, aguardamos seu pedido."
vem com tintas,"Olá HOSANAMARINHOCHRISOSTOMO, tudo bem? Sim vem com tinta. Aguardamos seu pedido."
----
Hamilton Beach Countertop Oven With Convection And Rotisserie 31103 - Stainless Steel - 110v
Question,Answer
